,Group,Mean,Median,Std
Understanding,C,-6.3,-6.5,3.668599281695287
Understanding,E,4.233333333333333,6.0,5.379932914165337
Understanding,V,4.533333333333333,6.5,5.1710956174738705
Trust,C,4.298333333333334,4.0,2.487036963765373
Trust,E,5.801666666666667,6.0,2.541981677897597
Trust,V,6.21375,6.1,2.405506779476788
Satisfaction,C,,,
Satisfaction,E,6.0404166666666645,6.2,2.7602664645590997
Satisfaction,V,6.517083333333331,7.0,2.582561375190303
