,Group,Mean,Median,Std
Understanding,C,0.13333333333333333,1.5,5.992715884985781
Understanding,E,4.4,6.0,5.035049566581349
Understanding,V,6.066666666666666,7.0,5.132273364217603
Trust,C,5.398749999999998,5.55,2.1064253415835257
Trust,E,6.107499999999997,7.0,2.6720829322183697
Trust,V,7.3641666666666685,7.55,2.017031906711386
Satisfaction,C,,,
Satisfaction,E,6.631666666666664,7.1,2.5932639917875333
Satisfaction,V,7.907083333333329,8.1,1.9368027381700454
